No.0:國家圖書館古籍服務實務研究, ['古籍', '國家圖書館', '國內', '部門', '服務', '實務', '圖書館', '讀者服務', '狀況', '內心', '勾勒出', '古籍管理', '古籍資源', '挖掘', '深入性', '渴望', '珍稀', '眼前', '推廣', '整理']
No.208:館際互借服務與使用者滿意度之研究：以國立臺灣大學醫學院暨附設醫院圖書館為例, ['館際互借', '申請', '服務', '使用者滿意度', '文獻傳遞', '醫院', '因素', '申請件', '醫圖', '臺大', '複印', '附設', '品質', '聯合', '困擾', '遭遇到', '醫學院', '項目', '醫學圖書館', '滿意']
No.209:<<全唐詩>>考述, ['全唐詩', '詩歌', '唐朝', '唐詩', '詩人', '編校', '總集', '負責', '其中', '一本', '以清', '任命', '南巡', '唐熙', '唐音', '帝王', '彭定求', '後代', '御定', '曹寅']
No.210:圖書館兒童網站內容研究, ['兒童網站', '圖書館網站', '圖書館兒童網站', '兒童圖書館', '網站', '建置', '內容', '兒童', '服務', '網路', '資源', '為主', '優良', '公私立', '規劃', '不一', '台北市', '更好', '商業', '整理']
No.211:全球資訊網使用者瀏覽行為分析, ['瀏覽', '全球資訊網', '網頁', '路徑', '心智模式', '使用者', '按鍵', '負面', '超文件', '架構', '網站', '獲得', '互動', '機制', '情形', '產生', '情況', '意外', '捕捉', '書籤']
No.212:中央警察大學圖書館使用者資訊素養問題研究, ['資訊素養', '圖書館利用教育', '素養', '使用者利用教育', '大學圖書館', '研討', '教學', '課題', '教育', '圖書館', '國內外', '電腦', '使用者', '媒體', '問題', '學校', '二技', '啟示', '廣義', '後來']
No.213:SGML、XML、RDF文件標準比較與Metadata資料模式設計, ['xml', 'mici', 'rdf', 'metadata', '文件', 'sgml', 'dc', 'dtd', 'field', 'html', 'based', '標準', '角度', '描述', 'core', 'dublin', 'namespace', '比較表', '模式', '做為']
No.214:Z39.50客戶端軟體評鑑研究, ['z39', '50客戶端軟體', '功能', '協定', '資訊檢索系統', '50', '評鑑表', '資訊檢索需求', '使用者', '差距', '資訊檢索', '評鑑', '客戶端', '資料庫', '查尋', '現況', '國內', '擬定', '廠商', '現有']
No.215:從行銷理念探討輔仁大學人文科學圖書館參考資訊服務, ['行銷', '文圖', '理念', '輔大', '圖書館行銷', '圖書館', '管理', '服務', '參考', '組合', '企業界', '資訊', '人文', '創造', '哲學', '形象', '科學', '研究生', '中心', '理論']
No.216:論目前臺灣公立圖書館館員之任用, ['任用', '館員', '公立圖書館', '進用', '主管', '教育人員任用', '考試任用', '臨時人員', '人員', '取決', '辦法', '工作', '人事', '配合', '圖書館', '造成', '制度', '採用', '達到', '理論']
No.217:正史源流考, ['正史', '史籍', '中國', '史部目錄', '歷代', '目錄', '二十五史', '史部', '專論', '私撰', '考據', '歷史學', '目錄學', '著作', '著錄', '形成', '歷史', '佔有', '係指', '修和']
No.218:網際網路上電子新聞追蹤系統的建立與評估, ['電子新聞', '系統', '新聞', '過濾', '興趣檔', '上網', '效能', '檢索', '評估', '全球資訊網', 'news', 'paper', 'wide', '新聞專題', '本文', '水晶', '資訊過濾', '模式', '網際網路', '技術']
No.219:石牌醫學園區護理人員資訊尋求行為研究, ['護理人員', '醫學園區', '石牌', '健康', '護理教師', '照護', '病患', '臨床', '資訊需求', '園區', '汲取', '資訊尋求行為', '資訊', '醫學圖書館', '合作', '人類', '有待', '醫學', '提供', '工作']
No.220:網路虛擬實境在圖書館利用教育之建置與應用研究, ['虛擬實境', '系統', '學習者', '圖書館利用教育', '學習', '遠距教學', '建置', '學習動機', '規劃', '介面', '互動', '網路', '反應', '感知', '嶄新', '持續性', '系統化', '教學設計', '課程', '互動式']
No.221:報社政治新聞工作者資訊尋求行為之探討--以政治記者與政治版編輯為例, ['報社', '新聞工作者', '政治', '資料室', '政治版', '記者', '編輯', '資訊尋求行為', '途徑', '資訊尋求', '資訊', '常用', '新聞', '原因', '前線', '報報社', '綜合性', '總社', '選擇', '位居']
No.222:我國政府檔案分類之回顧與前瞻, ['檔案分類', '檔案', '政府檔案', '檔案法', '管理', '分類', '回顧', '我國', '利用', '角度', '相關', '問題', '機構', '位階', '供証', '公開化', '前瞻', '稽憑', '端倪', '草案']
No.223:公共圖書館實施銀髮族資訊利用教育之研究--以台北市立圖書館為例, ['銀髮族', '資訊利用教育', '實施', '學員', '學習', '台北市立圖書館', '績效', '學習障礙', '讀者', '他們', '課程', '電腦', '滿意度', '圖書館', '技能', '數位', '設備', '理念', '認知', '資訊']
No.224:我國大學圖書館網路化線上資訊檢索服務行銷策略之探討, ['網路化線上資訊檢索服務', '行銷策略', '網路行銷', '大學圖書館', '我國', '推廣', '網路化', '資訊檢索系統', '服務', '全球資訊網', '應用', '線上', '經費', '遭遇', '多數', '之急', '為最', '確切', '圖書館', '優點']
No.225:國立臺灣大學醫學院暨附設醫院教師及醫生之資訊需求及資訊尋求行為的比較研究, ['醫生', '附設', '醫院', '醫學院', '教師', '台大', '資訊尋求行為', '資訊需求', '性質', '差異', '工作', '使用率', '國立', '相同', '假設', '臺灣', '顯著', '部分', '不同', '大學']
No.226:我國大學圖書館線上公用目錄期刊功能與畫面之研究, ['期刊', '線上公用目錄', '畫面', '功能', '圖書館自動化系統', '我國', '期刊自動化', '館員', '大學圖書館', '館際合作', '大學', '顯示', '問卷', '具備', '自動化', '國外', '系統', '設計', '調查', '介面']
No.227:機器輔助控制詞彙索引之研究, ['索引', '模型', '控制詞彙索引', '詞彙', '文件', '控制詞彙', '專指性', '自動索引', '訓練', '精確率', '回收率', 'tf', '主題辨識', '分離出來', '題名', '自然', '關聯', '90', '自動化', '大量']
No.228:大學圖書館利用教育自學課程之設計研究, ['自學', '課程', '網路化', '圖書館利用教育', '中心', '設計', '資源', '內容', '讀者', '大學', '大學圖書館', '利用', '軟硬體', '視聽', '學習者', '開設', '網路', '指導', '檢索', '教育']
No.229:臺灣地區佛教圖書分類探析, ['類表', '類目', '佛教', '佛典目錄', '佛教圖書分類', '經律論', '分類法', '要件', '中國', '現行', '事物', '類例', '歷代', '架構', '注釋', '細分', '複分表', '現代', '佛典', '其餘']
No.230:網路資源連結維護與管理模式之探討, ['文件', '連結維護', '模式', '資源', 'url', '網路', '參照', '組織', '維護', '變得', '管理', '連結', 'urn', '實證法', '網路資源維護', '超連結', '作業', '可行', '原始', '指定']
No.231:特殊主題資訊之Metadata比較研究, ['描述', 'metadata', 'cimi', 'ead', 'tei', '資訊', '資源', '網路', '主題', '資訊組織', '協定', '編碼', '學科', '通訊', 'sgml', '現況', '博物館', '人文', '規則', '組織']
No.232:屏東縣國小教師資訊尋求行為研究, ['國小教師', '城鄉', '資訊尋求行為', '屏東縣', '網際網路', '問卷', '差異', '使用', '加強', '學校圖書館', '圖書館', '提升', 'for', 'spss', 'windows', '無效', '社區資源', '讀者研究', '資訊需求', '填答']
No.233:中文字書探析, ['字書', '詞典', '工具書', '古代', '我國', '中文字', '互見', '分歧', '同書', '因襲', '抄掠', '排檢', '排檢法', '標注', '漢字', '異名', '異體字', '當代', '盛行字', '統稱']
No.234:臺北市立圖書館館藏特色規劃與經營之研究, ['館藏特色', '分館', '館藏', '複本', '經營', '館藏發展', '總館', '建立', '發展', '形成', '臺北市立圖書館', '公共圖書館', '一般館藏', '專科', '檢討', '特色', '服務', '許多', '訂定', '足夠']
No.235:網際網路資源專題選粹服務之探討－以檢索引擎為例, ['專題選粹服務', '定時', '檢索引擎', '使得', '系統', 'engine', 'information', '匯總式檢索引擎', '突破', '資訊過濾系統', '郵箱', '提取', '圖書館', '推出', '人工', '當前', '上網', '資料', '檢索', '發展']
No.236:我國族譜文獻蒐集整理與資訊化之研究, ['族譜', '資訊化', '譜牒', '文獻', '編目', '我國', '整理', '作業', '中國族譜資料庫', '家譜', '文獻整理', '文獻會', '文獻蒐集', '圖書館', '利用', '上海', '原件', '目錄', '目錄學', '典藏']
